temperature_K,pressure_bar
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
358.15,1.01325
363.15,1.01325
273.15,499.87
278.15999999999997,1.01325
283.15,347.805
288.15,1.01325
293.15,149.67
298.15,50.004999999999995
303.075,1.01325
308.15,1.01325
311.4,1050.0
313.15,51.19
318.15,1.01325
322.45,50.0
323.15,1.01325
328.15,1.01325
331.1,1050.0
332.19,50.0
333.15,72.69
338.15,1.01325
343.21000000000004,1.01325
348.15,1.01325
351.3,1050.0
353.145,125.0
358.15,1.01325
363.15,1.01325
371.3,1050.0
373.155,545.96
393.15,601.53
413.14,601.79
273.15,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
290.13,1.01325
291.35,1.01325
293.15,1.01325
295.16,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
315.25,1.01325
318.15,1.011625
323.15,1.01325
327.25,1.01325
328.15,1.01325
330.09,1.01325
333.15,1.01325
334.35,1.01325
335.05,1.01325
338.15,1.01325
342.35,1.01325
343.15,1.01325
348.15,1.01325
349.25,1.01325
353.15,1.01325
358.15,1.01325
363.15,1.01325
368.15,1.01325
373.15,350.0
398.15,450.0
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
358.15,1.01325
363.15,1.01325
368.15,1.01325
373.15,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
312.4,1000.0
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
332.3,1050.0
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
352.2,1050.0
353.15,1.01325
372.3,1050.0
392.4,1050.0
288.15,1.01
293.15,1.01
298.15,1.01
303.15,1.01
308.15,1.01
313.15,1.01
318.15,1.01
323.15,1.01
328.15,1.01
268.15,1.01325
273.15,1.01325
278.15,300.0
283.15,1.01325
288.15,1.01325
293.17499999999995,50.0
298.15,100.0
303.19,50.0
308.15,40.0
313.15,100.0
318.15,40.0
323.15,50.0
328.15,40.0
333.15,100.0
338.15,40.0
343.15,50.0
348.15,200.0
353.22,25.0
358.17499999999995,1.01325
363.075,1.01325
368.15,1.01325
373.15,300.0
398.15,400.0
240.449,99.48100000000001
248.1735,105.37049999999999
255.466,299.32
262.34,1.0
263.2525,302.08
265.01,13.314
268.5,1.0
271.011,496.01
271.74199999999996,195.078
273.15,100.0
278.15,75.0
280.1605,297.96000000000004
281.409,18.139
283.15,100.0
288.15,75.0
289.036,300.59
289.741,103.9
290.66,1.01325
293.15,75.0
295.655,1.01325
298.15,62.5
300.655,1.01325
303.15,62.5
305.65,1.01325
307.055,285.05
308.15,13.006625
310.655,1.01325
313.15,62.5
315.65,1.01325
316.64549999999997,295.57
318.15,50.0
320.65,1.01325
323.15,30.0
328.15,1.01325
333.15,30.0
338.15,1.01325
338.925,212.66299999999998
343.15,1.01325
348.15,1.01325
349.2765,199.53
353.15,1.011625
358.075,1.006625
363.075,1.01325
364.53,1.0
219.01,8.452
225.426,201.43
232.158,194.79
233.472,28.694000000000003
239.496,100.03
239.506,299.86
247.02550000000002,301.92
247.707,15.777000000000001
254.339,298.5
255.793,510.07
262.38,300.27
263.549,9.01
268.29,1.0
270.689,300.1
273.26,1.0
278.275,1.006625
279.463,399.11
280.161,204.17
281.02,10.489
283.15,50.0
288.15,1.01325
288.73749999999995,200.895
293.15,45.0
295.15,1.01325
298.15,150.1
299.08,14.979000000000001
300.35,1.01325
303.24,100.0
307.499,495.81
308.15,125.08699999999999
309.271,10.431
313.15,40.0
318.27,150.1
318.959,15.085
323.15,100.0
328.39,125.0
328.985,300.07
329.8295,103.5845
333.25,100.0
338.15,1.01325
338.51,1.0
340.003,300.29999999999995
340.844,100.36
343.15,1.01325
345.15,1.01325
348.15,1.01325
349.75,1.01325
350.84,500.3
353.15,56.726625
358.16499999999996,1.006625
363.15,1.01325
364.265,1.006625
368.35,1.01325
373.15,1.01325
278.15,1.01325
283.15,100.0
288.15,1.01325
293.15,50.0
297.15,1.01325
298.15,1.01325
301.15,1.01325
303.15,50.0
305.15,1.01325
308.15,1.01325
309.15,1.01325
313.15,50.0
317.15,1.01325
318.15,1.01325
321.15,1.01325
323.15,50.0
325.15,1.01325
328.15,1.01325
329.15,1.01325
333.15,50.0
337.15,1.01325
338.15,1.01325
341.15,1.01325
343.15,1.01325
345.15,1.01325
348.15,1.01325
353.075,1.01325
358.15,1.01325
363.075,1.01325
273.15,75.0
278.15,62.5
283.15,75.0
288.15,50.0
290.15,1.01325
293.15,62.5
295.15,1.01325
298.13,100.0
303.15,150.0
308.13,100.0
313.15,100.0
318.15,100.0
323.15,150.0
328.16,175.0
333.145,150.05
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
358.15,1.01325
363.15,1.01325
368.15,1.01325
373.15,1.01325
273.15,1.01
289.15,1.01
293.15,50.0
298.15,75.0
303.15,50.0
308.075,1.011625
313.15,50.0
318.075,1.011625
323.15,1.01325
328.075,1.011625
333.15,50.0
338.15,1.01
343.15,1.011625
353.15,75.0
363.15,1.01325
373.15,100.0
383.15,1.01325
393.15,100.0
403.15,1.01325
413.15,1.01325
423.15,1.01325
433.15,1.01325
443.15,1.01325
453.15,1.01325
463.15,1.01325
473.15,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.006625
298.17949999999996,350.0
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.152,300.0
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.006625
348.157,400.0
353.15,1.006625
358.15,1.01325
363.15,1.006625
373.154,400.0
398.151,450.0
298.15,1.01325
303.15,1.01325
308.14,1.01325
313.15,1.01325
318.15,1.01325
323.14,1.01325
328.14,1.01325
333.14,1.01325
338.14,1.01325
343.14,1.01325
348.15,1.01325
273.15,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,200.0
303.15,200.0
313.15,200.01
323.15,200.0
333.15,200.0
343.15,1.01325
353.15,1.01325
363.15,1.01325
273.15,1.0
278.15,1.0
283.15,1.006625
288.15,1.01325
293.15,1.0
295.15,1.01325
298.15,150.01
303.15,175.005
308.15,1.01325
313.15,175.0
318.15,1.01325
323.15,175.01
328.15,1.01325
333.15,175.005
338.15,1.01325
343.15,175.005
348.15,1.01325
353.15,174.995
363.15,1.0
283.15,1.006625
288.15,1.0
293.15,1.0
298.15,1.0
303.15,1.0
308.15,1.0
313.15,1.0
318.15,1.0
323.15,1.0
328.15,1.0
333.15,1.0
338.15,1.0
343.15,1.0
348.15,1.0
353.15,1.0
358.15,1.0
363.15,1.0
273.15,1.01325
283.15,1.01325
288.155,1.01325
293.15,25.0
298.15,1.01325
303.15,22.5
308.15,1.01325
313.15,22.5
318.15,1.01325
323.15,22.5
328.15,1.01325
333.15,25.0
338.15,1.01325
343.15,27.5
348.155,1.01325
353.15,35.0
358.15,1.01325
363.15,1.01325
373.15,1.01325
383.15,1.01325
393.15,50.0
403.15,1.01325
413.15,1.01325
423.15,1.01325
433.15,1.01325
443.15,1.01325
453.15,1.01325
463.15,1.01325
473.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,300.0
303.15,1.01325
308.145,1.01325
313.15,1.01325
318.15,1.01325
323.15,250.0
328.145,1.01325
333.145,1.01325
338.145,1.01325
343.15,1.01325
348.15,350.0
353.145,1.01325
363.0,1.01325
373.15,450.0
398.15,450.0
288.15,1.0
293.15,1.0
298.15,1.0
303.15,1.0
308.15,1.0
313.15,1.0
318.15,1.0
323.15,1.0
328.15,1.0
333.15,1.0
338.15,1.0
343.15,1.0
348.15,1.0
353.15,1.0
358.15,1.0
363.15,1.0
278.16,1.01325
283.14,1.01325
288.16999999999996,1.006625
293.17499999999995,1.006625
298.15,100.0
303.16999999999996,1.006625
308.15,100.0
313.16999999999996,1.006625
318.15,100.0
323.16999999999996,1.006625
328.15,100.0
333.16999999999996,1.006625
338.15,100.0
343.16999999999996,1.006625
348.15,150.0
353.2,1.0
358.2,1.0
363.2,1.0
283.15,1.0
288.15,1.0
293.15,1.0
298.15,1.0
303.15,1.0
308.15,1.0
313.15,1.0
318.15,1.0
323.15,1.0
328.15,1.0
333.15,1.0
338.15,1.0
267.25,1.01
268.87,1.01
273.13,1.01
278.51,1.01
283.29,1.01
288.62,1.01
293.16,17.5
293.96,1.01
298.15,1.01325
303.18,10.0
308.025,1.011625
313.19,10.0
318.265,1.011625
323.16,10.0
327.84,1.011625
333.19,17.5
333.62,1.01
337.92499999999995,1.011625
343.15,10.0
348.14,1.01
352.845,1.011625
357.63,1.01
359.73,1.01
363.15,1.01325
219.916,25.017
225.139,112.44
231.09300000000002,113.78399999999999
236.451,201.02
242.307,194.17
243.661,218.668
249.02,300.13
255.994,201.48
262.309,201.20999999999998
263.018,511.86
269.00800000000004,300.28
269.899,21.191999999999997
273.15,1.0
275.799,294.02
278.15,1.006625
282.47,1.01325
283.15,169.1
283.6075,210.4495
288.15,90.0
288.86,1.01325
290.15,1.01325
290.7255,301.73
292.15,1.01325
293.15,100.0
294.15,1.01325
295.15,1.01325
296.15,1.01325
297.15,1.01325
298.15,100.0
299.15,4.069125
300.15,1.01325
301.15,1.01
302.15,1.01
303.15,1.01325
304.15,1.01
305.15,1.01
305.934,492.86
307.15,1.01325
308.15,30.0
309.15,1.01325
310.15,1.01325
311.15,1.01325
312.15,1.01325
313.15,201.78
314.28549999999996,303.201625
315.252,201.71
315.996,6.677625
317.15,1.01325
318.15,50.0
319.15,1.01325
320.15,1.01325
321.15,1.01325
322.15,1.01325
323.15,10.506625
323.551,199.007
328.15,1.01325
328.63,1.01325
330.586,597.94
332.5,950.0
333.15,51.06
333.69,1.01325
338.15,1.01325
340.92,499.56
341.616,198.604
343.15,1.01325
343.75,1.01325
348.26,1.01325
349.189,13.743
350.18550000000005,498.495
351.2,202.98
353.065,450.995
356.07,1.01325
357.118,263.81
358.15,1.01325
363.15,1.01325
368.1,1.01325
372.7,750.0
393.0,1050.0
413.0,1050.0
432.9,1050.0
452.6,1050.0
472.5,1050.0
221.04899999999998,114.415
226.32049999999998,202.505
232.3195,301.03499999999997
232.755,14.684000000000001
238.34699999999998,199.54000000000002
239.109,509.24
244.581,200.78
251.033,299.3
257.326,194.88
257.995,208.85199999999998
264.306,297.75
264.817,503.12
271.115,199.45
271.98699999999997,211.8715
273.15,1.01325
278.15,1.01325
278.814,499.75
283.15,1.01325
285.885,202.17
288.15,1.01325
293.15,20.0
294.1,150.0
298.15,1.01325
300.8935,300.2
301.51,9.404
303.15,1.01325
308.15,1.01325
308.9305,203.335
309.515,504.44
313.025,175.0
315.1,100.0
316.343,187.83
318.15,1.01325
323.15,1.01325
325.703,298.44
328.15,1.01325
332.875,175.0
335.2,150.0
336.109,419.46
336.594,14.3
338.15,1.01325
338.63,1.0
343.15,1.01325
345.063,100.24
348.15,1.01325
348.55,1.0
352.7,200.0
353.61,1.0
358.15,1.01325
363.15,10.0
364.46,1.0
372.9,700.0
383.15,30.0
393.0,700.0
412.9,1050.0
432.8,1050.0
452.5,1050.0
472.3,1050.0
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
311.8,1050.0
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
331.8,1050.0
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
351.6,1050.0
353.15,1.01325
358.15,1.01325
363.15,1.01325
371.8,1050.0
373.15,1.0
392.0,1050.0
412.1,1050.0
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.013125
353.15,1.013125
358.15,1.01325
363.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
258.15,1.01325
263.065,1.01325
268.205,1.01325
273.15,200.0
278.15,1.01325
283.15,102.4
288.15,1.01325
290.95,1.01325
293.15,13.77
295.15,1.01325
296.95,1.01325
298.15,100.06
299.15,228.05
300.15,258.6
301.15,228.05
302.15,258.6
303.15,1.01325
305.05,1.01325
307.05,1.01325
308.15,37.65
311.7,1050.0
313.15,250.2
318.15,50.2
323.15,1.01325
325.15,228.05
327.15,228.05
328.15,1.01325
329.15,228.05
331.15,228.05
332.4,1000.0
333.15,150.0
338.15,50.25
338.51,1.01325
343.15,1.01325
343.65,1.01325
348.15,1.01325
351.3,1050.0
352.3,1000.0
353.15,102.02000000000001
358.15,1.01325
363.15,1.01325
364.78,1.01325
372.5,1000.0
373.15,347.79999999999995
383.15,1.01325
393.14,650.55
398.15,250.0
399.91,1.01325
403.15,1.01325
411.2,1050.0
412.7,750.0
414.6,1.01325
422.3,1.01325
423.15,200.0
429.38,1.01325
432.6,950.0
436.51,1.01325
443.30499999999995,1.01325
451.0,1050.0
452.3,1000.0
453.15,1.01325
457.31,1.01325
463.15,1.01325
470.13,1.01325
473.15,1.01325
479.69,1.01325
288.7,1.01325
293.91,1.01325
298.52,1.01325
303.43,1.01325
308.13,1.01325
313.41,1.01325
318.19,1.01325
323.33,1.01325
328.2,1.01325
333.8,1.01325
338.04,1.01325
343.07,1.01325
348.64,1.01325
352.79,1.01325
358.28,1.01325
360.63,1.01325
288.15,1.0
293.15,50.0
298.15,1.01325
303.15,1.01325
308.15,1.0
313.15,1.01325
318.15,1.0
323.15,1.01325
328.15,1.0
333.15,1.01325
338.15,1.01325
338.73,1.0
343.15,1.01325
348.15,1.0
353.15,25.506625
353.71,1.0
358.14,1.006625
363.15,1.01325
373.15,1.01325
287.15,1.01325
289.15,1.01325
291.15,1.01325
293.15,1.01325
295.15,1.01325
297.15,1.01325
299.15,1.01325
301.15,1.01325
303.15,1.01325
305.15,1.01325
307.15,1.01325
309.15,1.01325
311.15,1.01325
313.15,1.01325
315.15,1.01325
317.15,1.01325
319.15,1.01325
321.15,1.01325
323.15,1.01325
325.15,1.01325
327.15,1.01325
329.15,1.01325
331.15,1.01325
333.15,1.01325
335.15,1.01325
337.15,1.01325
339.15,1.01325
341.15,1.01325
343.15,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
273.15,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,200.01
303.15,200.0
313.15,200.0
323.15,200.0
333.15,200.0
343.15,1.01325
353.15,1.01325
363.15,1.01325
273.15,1.0
278.15,1.0
283.15,1.0
288.15,1.0
293.15,1.0
298.15,30.0
300.125,1.006625
303.15,75.0
306.075,1.006625
308.15,1.01325
312.125,1.006625
313.15,75.0
318.15,1.01325
323.15,75.0
324.125,1.006625
328.15,1.01325
330.075,1.006625
333.15,75.0
336.075,1.006625
338.15,1.01325
341.025,1.006625
343.15,75.0
348.15,1.01325
353.15,75.0
355.025,1.006625
361.075,1.006625
363.15,1.0
373.15,1.0
374.0,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,125.0
299.15,258.6
300.15,258.6
301.15,258.6
302.15,258.6
303.15,125.0
308.15,125.0
313.15,125.0
318.15,125.0
323.15,125.0
325.15,258.6
327.15,258.6
328.15,1.01325
329.15,258.6
331.15,258.6
333.15,125.0
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
358.15,1.01325
363.15,1.01325
