smiles,log_co2_solubility
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.00436480540245
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.7304870557820837
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.5883802940367698
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.4907974776688971
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.3767507096020994
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.00436480540245
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.7304870557820837
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.5883802940367698
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.4907974776688971
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.3767507096020994
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.00436480540245
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.7304870557820837
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.5883802940367698
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.4907974776688971
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.3767507096020994
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.00436480540245
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.7304870557820837
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.5883802940367698
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.4907974776688971
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.3767507096020994
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.00436480540245
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.7304870557820837
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.5883802940367698
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.4907974776688971
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.3767507096020994
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-1.00436480540245
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.7304870557820837
C=CCn1cc[n+](C)c1.N#C[N-]C#N,-0.5883802940367698
