temperature_K,pressure_bar
303.26,8.85
303.25,18.7
303.23,28.8
303.14,40.5
313.17,4.24
313.24,10.8
313.21,22.6
313.22,35.1
313.11,49.6
323.06,5.09
323.21,12.7
323.25,27.0
323.22,42.3
323.04,60.0
333.08,6.0
333.21,15.0
333.21,32.0
333.23,50.2
333.0,72.1
343.02,6.8
343.24,17.4
343.2,37.1
343.2,58.7
343.0,84.9
353.02,7.8
353.23,19.9
353.27,43.0
353.23,68.0
353.05,99.5
363.01,8.8
363.28,22.7
363.29,48.8
363.23,78.0
333.15,5.3
333.15,10.3
333.15,15.61
333.15,20.358
333.15,25.502
333.15,32.692
333.15,39.935
333.15,40.611999999999995
333.15,47.321000000000005
333.15,50.303999999999995
333.15,55.081
353.15,5.931
353.15,10.606
353.15,15.26
353.15,20.896
353.15,30.141
353.15,39.879
353.15,50.106
323.15,1.0
283.1,0.102
283.1,0.502
283.1,1.002
283.1,3.997
283.1,6.994
283.1,9.993
283.1,13.015999999999998
283.0,14.999
283.1,19.999000000000002
298.1,0.10099999999999999
298.1,0.502
298.1,1.003
298.1,3.9960000000000004
298.1,7.001
298.1,9.996
298.2,13.001
298.1,15.0
298.1,19.994
303.15,1.12
303.15,2.812
303.15,3.9
303.15,5.32
303.15,5.8
303.15,9.085
303.15,11.7
303.15,13.667
303.15,18.636
303.15,21.1
303.15,24.295
303.15,29.105
303.15,31.0
303.15,35.733000000000004
303.15,36.8
303.15,47.1
303.15,59.1
303.54,0.09783
303.53499999999997,0.19155
313.15,4.7
313.15,8.1
313.15,14.7
313.15,26.7
313.15,39.2
313.15,50.0
313.15,60.8
313.15,73.3
313.53,0.14458000000000001
313.51,0.23129999999999998
313.54,0.26572
323.1,0.10400000000000001
323.1,0.504
323.125,1.002
323.1,3.995
323.15,6.2
323.2,7.002999999999999
323.1,10.001
323.15,10.9
323.1,13.002
323.1,14.995
323.15,19.0
323.2,19.993
323.15,32.9
323.15,47.7
323.15,61.9
323.15,74.8
323.15,94.6
323.53999999999996,0.194385
323.55,0.32927
328.15,1.955
328.15,3.682
328.15,5.895
328.15,9.354
328.15,13.880999999999998
328.15,20.19
328.15,24.930999999999997
328.15,29.805
328.15,36.42
333.45,0.25555
333.15,7.7
333.15,12.7
333.15,23.4
333.15,39.9
333.15,57.7
333.15,72.1
333.15,91.7
333.15,118.0
333.51,0.35435
343.15,0.4183
343.15,2.701
343.15,4.308
343.15,6.205
343.15,9.3
343.15,9.402000000000001
343.15,14.922
343.15,15.1
343.15,21.087
343.15,24.947
343.15,27.6
343.15,30.267
343.15,37.082
343.15,47.8
343.15,70.1
343.15,86.9
343.15,113.3
343.15,153.0
343.51,0.28230500000000003
343.57,0.46378
348.1,0.10400000000000001
348.1,0.505
348.1,1.0
348.1,4.002
348.1,6.994
348.1,10.003
348.1,12.994000000000002
348.1,14.997
348.2,19.993
353.15,12.7
353.15,18.1
353.15,32.4
353.15,55.8
353.15,86.7
353.15,105.7
353.15,138.9
353.15,191.5
363.15,16.6
363.15,23.4
363.15,40.1
363.15,63.2
363.15,100.9
363.15,127.2
363.15,162.4
373.15,21.0
373.15,28.5
373.15,49.3
373.15,72.7
373.15,118.5
373.15,150.1
373.15,186.1
293.15,0.03
293.15,0.141
293.15,1.84
293.15,4.01
293.15,14.6
293.15,22.3
293.15,25.1
298.15,0.04
298.1,0.1
298.15,0.278
298.1,0.4995
298.1,1.0
298.15,2.54
298.1,3.998
298.1,6.9975000000000005
298.15,8.45
298.1,9.998000000000001
298.1,12.998999999999999
298.1,14.9985
298.1,19.999000000000002
298.15,22.3
298.1,25.0
298.1,30.0
302.1,2.104
303.3,0.04136
303.34,0.055439999999999996
303.15,0.5489999999999999
303.1,1.3430000000000002
303.15,4.0
303.15,4.5
303.15,6.2
303.15,8.5
303.15,9.78
303.15,12.6
303.15,23.1
303.15,25.0
303.17,30.1
303.15,34.9
303.15,38.8
303.15,47.2
303.15,58.7
308.15,0.062
308.15,0.65
308.15,4.87
308.15,11.22
308.15,27.2
313.36,0.04769999999999999
313.34,0.071
313.42,0.71
313.2,2.254
313.42,5.42
313.15,5.7
313.15,8.2
313.15,10.8
313.15,13.0
313.15,16.1
313.15,28.1
313.15,28.3
313.15,47.5
313.15,49.2
313.15,61.4
313.15,76.3
318.15,0.078
318.15,0.878
318.15,5.11
318.15,14.0
318.15,30.4
318.15,43.0
323.3,0.1
323.1,0.499
323.125,0.9810000000000001
323.2,2.385
323.1,4.0
323.15,6.05
323.1,7.0
323.15,7.4
323.1,10.000499999999999
323.15,10.6
323.1,12.997
323.15,13.5
323.125,14.998999999999999
323.1,19.997999999999998
323.15,20.2
323.1,32.0
323.15,32.6
323.15,34.9
323.15,51.8
323.125,54.37949999999999
323.15,61.2
323.15,77.0
323.15,94.6
328.15,0.10099999999999999
328.15,1.09
328.15,7.21
328.15,16.4
333.265,0.11084
333.33000000000004,0.16687000000000002
333.15,1.18
333.2,2.523
333.15,8.33
333.15,9.3
333.15,12.8
333.15,17.3
333.15,17.7
333.15,24.7
333.15,40.1
333.15,42.3
333.15,59.5
333.15,60.5
333.15,75.6
333.15,96.1
333.15,118.2
338.15,0.11900000000000001
338.15,1.21
