temperature_K,pressure_bar
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
358.15,1.01325
363.15,1.01325
278.149,1.006625
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
304.2,1.01325
305.2,1.01325
308.15,1.01325
313.15,1.01325
314.3,1.01
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.006625
353.15,1.011625
358.15,1.01325
363.15,1.006625
373.15,1.01325
393.1,1.01325
273.0,1.01325
278.15,1.011625
282.5,1.0
283.15,1.01325
288.15,1.01325
292.4,1.0
293.15,1.01325
298.15,1.011625
302.1,1.0
303.15,1.01
308.15,1.01
312.5,1.0
313.15,1.01
318.15,1.01
323.15,1.01
328.15,1.01
332.2,1.0
333.15,1.01
338.15,1.01
341.3,1.0
343.15,1.011625
348.15,1.01
352.1,1.0
353.15,1.005
358.15,1.01325
362.3,1.0
363.125,1.01325
368.15,1.01325
371.7,1.0
373.15,1.01325
378.15,1.01
388.15,1.01
393.1,1.01325
398.15,1.01
408.15,1.01
288.15,1.0
293.15,1.0
298.15,1.011625
303.15,1.011625
308.15,1.0
313.15,1.01325
318.15,1.0
323.15,1.01325
328.15,1.0
333.15,1.01325
343.15,1.01325
353.15,1.011625
363.0,1.01325
373.15,1.0
393.15,1.0
413.15,1.0
433.15,1.0
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
303.15,1.01325
313.15,1.01325
323.15,1.01325
333.15,1.01325
343.15,1.01325
268.15,1.01325
273.15,1.01325
278.15,1.01325
283.1,1.01325
288.13,1.01325
293.07,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
358.15,1.01325
363.18,1.01325
368.15,1.01325
373.15,1.01325
278.15,1.006625
283.15,1.006625
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.115,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
358.15,1.01325
363.075,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.075,1.01325
358.15,1.01325
373.0,1.01325
393.1,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.075,1.01325
308.15,1.01325
313.075,1.01325
318.15,1.01325
323.075,1.01325
328.15,1.01325
333.075,1.01325
338.15,1.01325
343.075,1.01325
348.15,1.01325
353.075,1.01325
358.15,1.01325
363.075,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
295.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
358.15,1.01325
363.15,1.01325
283.15,1.01325
293.15,1.01325
303.15,1.01325
313.15,1.01325
323.15,1.01325
333.15,1.01325
343.15,1.01325
353.15,1.01325
363.15,1.01325
298.15,1.01325
303.15,1.01325
313.15,1.01325
323.15,1.01325
333.15,1.01325
343.15,1.01325
353.15,1.01325
273.15,1.01325
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
313.15,1.01325
323.15,1.01325
333.15,1.01325
343.15,1.01325
353.15,1.01325
363.15,1.01325
273.15,1.0
278.15,1.0
283.15,125.0
288.15,1.01325
293.15,1.0
298.15,500.0
303.15,1.0
308.125,1.01325
313.15,1.0
318.1,1.01325
323.15,1510.0
328.1,1.01325
333.15,1.0
338.1,1.01325
343.15,1.0
348.15,1250.0
353.15,1.0
358.1,1.01325
363.15,1004.0
368.1,1.01325
273.15,1.0
278.15,1.0
283.15,1.01
283.6,43.8
288.15,1.01
293.15,1.01325
293.65,65.8
298.15,262.0
303.15,1.011625
303.93,58.7
308.15,8.0
313.15,16.0
318.15,1.01325
323.15,6.9
323.65,89.15
328.15,1.01325
333.15,104.0
338.15,1.01325
343.15,1.011625
348.15,379.5
353.15,1.01325
358.15,1.01325
363.15,1.01325
373.15,1.01
270.27,1.01325
270.91,1.01325
272.33,1.01325
273.195,1.006625
274.02,1.01325
274.845,1.01325
276.24,1.01325
276.995,1.01325
278.0,1.01325
279.21500000000003,1.01325
280.04999999999995,1.01325
280.78,1.01325
281.94,1.01325
283.115,1.01325
283.81,1.01325
284.58,1.01325
286.04499999999996,1.01325
286.78999999999996,1.01325
288.15,1.01325
289.025,1.01325
289.78,1.01325
291.24,1.01325
291.99,1.01325
293.15,1.01325
294.235,1.01325
294.99,1.01325
295.79,1.01325
297.2,1.01325
298.15,1.01325
298.82,1.01325
300.16,1.01325
300.95500000000004,1.01325
302.06,1.01325
303.15,1.01325
303.9,1.01325
305.01,1.01325
306.12,1.01325
306.855,1.01325
308.15,1.01325
309.09,1.01325
309.83,1.01325
310.94,1.01325
312.055,1.01325
313.15,1.01325
313.91499999999996,1.01325
315.03,1.01325
315.77,1.01325
316.88,1.01325
318.15,1.01325
319.11,1.01325
320.22,1.01325
320.96500000000003,1.01325
322.08000000000004,1.01325
323.15,1.01325
323.935,1.01325
325.06,1.01325
326.175,1.01325
326.915,1.01325
328.15,1.01325
329.14,1.01325
329.88,1.01325
330.995,1.01325
332.105,1.01325
333.15,1.01325
333.965,1.01325
335.08,1.01325
335.82,1.01325
336.94,1.01325
338.06,1.01325
338.8,1.01325
339.90999999999997,1.01325
341.03499999999997,1.01325
341.77,1.01325
343.15,1.01325
344.0,1.01325
344.76,1.01325
346.22,1.01325
347.01,1.01325
347.98,1.01325
349.19,1.01325
350.005,1.01325
351.095,1.01325
352.19000000000005,1.01325
353.15,1.01325
354.07,1.01325
355.16999999999996,1.01325
355.9,1.01325
357.01,1.01325
358.11,1.01325
358.855,1.01325
359.975,1.01325
361.085,1.01325
361.82,1.01325
363.15,1.01325
364.05,1.01325
364.795,1.01325
365.90999999999997,1.01325
367.02,1.01325
367.76,1.01325
369.24,1.01325
369.99,1.01325
371.1,1.01325
372.225,1.01325
372.97,1.01325
374.075,1.01325
375.19,1.01325
375.94,1.01325
377.05,1.01325
378.16,1.01325
378.905,1.01325
380.02,1.01325
381.135,1.01325
381.875,1.01325
382.985,1.01325
384.105,1.01325
384.85,1.01325
385.96500000000003,1.01325
387.075,1.01325
387.82,1.01325
388.935,1.01325
390.045,1.01325
390.79,1.01325
391.9,1.01325
393.015,1.01325
393.76,1.01325
395.25,1.01325
395.99,1.01325
397.1,1.01325
398.22,1.01325
398.96500000000003,1.01325
400.07,1.01325
401.19,1.01325
401.935,1.01325
403.045,1.01325
404.16,1.01325
404.905,1.01325
406.015,1.01325
407.13,1.01325
407.875,1.01325
408.985,1.01325
410.1,1.01325
410.845,1.01325
411.96,1.01325
413.07,1.01325
413.82,1.01325
278.0,1.01325
283.15,1.01325
288.0,1.01325
293.15,1.01325
296.75,1.01325
298.15,1.01325
300.22,1.01325
303.15,1.01325
303.7,1.01325
307.19,1.01325
308.075,1.01325
310.64,1.01325
313.15,1.01325
314.14,1.01325
318.0,1.01325
321.13,1.01325
323.15,1.01325
324.62,1.01325
328.055,1.01325
331.61,1.01325
333.15,1.01325
335.11,1.01325
338.075,1.011625
338.61,1.01325
342.11,1.01325
343.15,1.01325
345.62,1.01325
348.0,1.01325
349.12,1.01325
353.15,1.01325
358.0,1.01325
363.15,1.0
288.15,1.0
293.15,1.0
298.15,1.0
303.15,1.0
308.15,1.0
313.15,1.0
318.15,1.0
323.15,1.0
328.15,1.0
333.15,1.0
338.15,1.0
343.15,1.0
348.15,1.0
353.15,1.0
358.15,1.0
363.15,1.0
278.0,1.01325
283.0,1.01325
288.1,1.01325
293.075,1.01325
298.125,1.01325
303.15,1.01325
308.125,1.01325
313.15,1.01325
318.1,1.01325
323.075,1.01325
328.1,1.01325
333.075,1.01325
338.1,1.01325
343.05,1.01325
353.15,1.01325
283.0,1.01325
293.0,1.01325
298.1,1.01325
303.075,1.01325
308.15,1.0
313.075,1.01325
318.15,1.0
323.075,1.01325
328.15,1.0
333.075,1.01325
338.15,1.0
343.075,1.01325
348.15,1.0
353.15,1.0
293.15,1.01325
298.075,1.01325
303.15,20.0
308.075,1.01325
313.15,20.0
318.075,1.01325
323.15,20.0
328.075,1.01325
333.15,30.0
338.075,1.01325
343.15,30.0
348.0,1.01325
353.15,1.01325
363.15,1.01325
373.15,1.01325
278.15,1.0
283.15,63.006625
285.17499999999995,62.35
288.15,1.01325
293.15,1.01325
294.81,53.55
298.15,130.0
300.405,34.15
300.65,73.4
303.15,1.011625
308.15,1.01325
308.65,35.3
313.15,1.01325
318.15,1.01325
319.96500000000003,41.6
323.15,413.5
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,31.0
348.15,2252.0
353.15,1.01325
358.15,1.01325
363.15,1507.0
368.125,1.01325
278.15,1.01325
283.265,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.145,1.01325
333.145,1.01325
338.145,1.01325
343.15,1.01325
348.145,1.01325
353.15,1.01325
358.145,1.01325
363.15,1.01325
373.15,1.0
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.013125
353.15,1.013125
358.15,1.01325
363.15,1.01325
258.15,1.01325
263.15,1.01325
268.15,1.01325
273.15,1.006625
278.15,1.01
283.15,1.01325
288.15,1.011625
293.145,1.01325
295.98,1.01325
298.15,1.01325
299.99,1.01325
303.128,1.01325
305.82,1.01325
308.128,1.01325
311.82,1.01325
313.15,1.01325
314.86,1.01325
316.89,1.01325
318.099,1.01325
320.84,1.01325
323.15,1.01325
323.87,1.01325
328.15,1.01325
328.92,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1000.0
353.15,1.01325
358.15,1.01325
363.15,1624.5
368.1,1.011625
373.15,100.0
378.15,1.01
388.15,1.01
393.15,200.0
398.15,1.01
408.15,1.01
413.15,200.0
433.15,150.0
293.15,1.0
298.15,1.0
303.26,16.95
308.15,1.006625
313.24,38.15
318.15,1.01325
323.15,1.01325
328.21,53.1
333.15,1.01325
338.15,1.01325
343.2,54.8
358.2,101.8
293.15,1.01
303.15,1.01
313.15,1.01
323.15,1.01
333.15,1.01
283.15,1.01325
293.15,1.011625
298.15,1.01325
303.15,1.01
308.15,0.9670000000000001
313.15,1.011625
318.15,0.9670000000000001
323.15,1.011625
328.15,0.990125
333.15,1.011625
338.15,0.9670000000000001
343.15,1.01325
348.15,0.9670000000000001
353.15,1.01325
363.15,1.01325
373.15,1.01325
283.1,1.01325
293.15,1.01325
298.15,1.01325
303.05,1.01325
313.05,1.01325
322.95,1.01325
332.85,1.01325
273.15,1.0
278.15,1.0
283.15,254.5
288.15,1.01325
293.15,1.0
298.15,255.5
300.17499999999995,1.006625
303.15,156.0
306.225,1.006625
308.125,1.01325
312.17499999999995,1.006625
313.15,7.0
318.15,1.01325
323.15,306.0
324.225,1.006625
328.125,1.01325
330.275,1.006625
333.15,200.0
336.225,1.006625
338.125,1.01325
341.17499999999995,1.006625
343.15,1.0
348.15,457.0
353.15,1.0
355.225,1.006625
358.1,1.01325
361.225,1.006625
363.15,542.5
368.1,1.01325
373.15,1.0
374.2,1.01325
278.075,1.01325
283.0,1.01325
288.075,1.01325
293.075,1.01325
293.58,1.01325
296.52,1.01325
298.15,1.01325
298.63,1.01325
301.14,1.01325
303.15,1.01325
304.22,1.01325
306.31,1.01325
308.15,1.01325
311.26,1.01325
313.15,1.01325
316.34,1.01325
318.15,1.01325
323.15,1.01325
323.52,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.075,1.01325
353.0,1.01325
358.075,1.01325
363.15,1.01325
373.0,1.01325
393.0,1.01325
268.15,1.01325
273.15,1.006625
278.15,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
293.79,1.01325
298.15,1.01325
298.6,1.01325
301.53,1.01325
303.15,100.0
304.45,1.01325
307.33,1.01325
308.15,1.01325
310.28,1.01325
313.15,1.01325
318.15,1.01325
323.15,50.506625
328.15,1.01325
331.91,1.01325
333.15,50.506625
338.15,1.01325
341.39,1.01325
343.15,125.0
348.15,1.01325
350.72,1.01325
353.15,125.0
358.15,1.01325
359.86,1.01325
363.15,1.006625
368.15,1.01325
368.9,1.01325
373.075,1.01325
378.15,1.01325
388.51,1.01325
473.0,1.01325
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
278.0,1.01325
283.075,1.01325
288.075,1.01325
290.0,1.01325
293.15,1.01325
295.0,1.01325
298.1,1.01325
300.0,1.01325
303.15,250.0
305.0,1.01325
308.1,1.01325
310.0,1.01325
313.15,250.0
315.0,1.01325
318.1,1.01325
320.0,1.01325
323.15,250.0
325.0,1.01325
328.075,1.01325
330.0,1.01325
333.15,250.0
335.0,1.01325
338.075,1.01325
340.0,1.01325
343.15,250.0
345.0,1.01325
348.075,1.01325
350.0,1.01325
353.15,250.0
355.0,1.01325
358.15,1.01325
360.0,1.01325
363.15,1.01325
365.0,1.01325
368.15,1.01325
373.15,1.01325
277.85,1.01325
283.0,1.01325
285.4,1.01325
288.075,1.006625
293.075,1.006625
293.5,1.01325
298.15,1.01325
303.075,1.006625
303.5,1.01325
308.15,1.01
313.0,1.01325
318.15,1.01
323.0,1.01325
328.15,1.01
333.15,1.01325
338.075,1.011625
338.9,1.01325
343.0,1.01325
345.0,1.01325
348.075,1.011625
353.0,1.01325
358.15,1.01
273.15,1.01325
278.15,1.01325
283.075,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
303.15,1.01325
308.15,1.01325
313.15,1.01325
318.15,1.01325
323.15,1.01325
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
348.15,1.01325
353.075,1.01325
358.15,1.01325
363.15,1.01325
368.15,1.01325
378.15,1.01325
388.15,1.01325
398.15,1.01325
408.15,1.01325
298.15,1.01
308.15,1.01
318.15,1.01
328.15,1.01
338.15,1.01
348.15,1.01
273.15,321.9
278.15,1.006625
283.15,1.01325
288.15,1.01325
293.15,1.01325
298.15,1.01325
300.15,1.0
303.15,1.01325
306.15,1.0
308.15,1.01325
308.7,1.01325
310.5,1.01325
312.15,1.01
313.15,1.01325
318.15,1.01325
321.22,1.01
323.15,1.01325
324.15,1.0
328.15,1.01325
330.22,1.005
333.15,1.01325
335.825,1.006625
338.15,1.01325
339.37,1.01
341.15,1.0
343.15,1.01325
348.15,108.5
353.15,1.01325
355.15,1.0
358.15,1.01325
361.15,1.0
363.15,150.0
367.49,1.01
368.15,1.01325
373.15,1.006625
377.46,1.01
386.53,1.01
394.73,1.01
403.15,1.01
473.0,1.01325
293.15,1.011625
298.15,1.01
303.15,1.011625
308.15,1.01
313.15,1.011625
318.15,1.01
323.15,1.011625
328.15,1.01325
333.15,1.01325
338.15,1.01325
343.15,1.01325
283.15,1.01325
293.15,1.01325
303.15,1.01325
313.15,1.01325
323.15,1.01325
333.15,1.01325
343.15,1.01325
298.15,1.01325
303.15,1.01325
313.15,1.01325
323.15,1.01325
333.15,1.01325
343.15,1.01325
353.15,1.01325
363.15,1.01325
