smiles,cation_name,cation_smiles,anion_name,anion_smiles,molecular_weight
Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,IM-C1-C1,Cn1cc[n+](C)c1,NTf2,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,377.288
Cn1cc[n+](C)c1.F[B-](F)(F)F,IM-C1-C1,Cn1cc[n+](C)c1,BF4,F[B-](F)(F)F,183.94499999999996
Cn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,IM-C1-C1,Cn1cc[n+](C)c1,PF6,F[P-](F)(F)(F)(F)F,242.10299999999995
Cn1cc[n+](C)c1.[Cl-],IM-C1-C1,Cn1cc[n+](C)c1,Cl,[Cl-],132.594
Cn1cc[n+](C)c1.[Br-],IM-C1-C1,Cn1cc[n+](C)c1,Br,[Br-],177.045
Cn1cc[n+](C)c1.N#C[N-]C#N,IM-C1-C1,Cn1cc[n+](C)c1,DCA,N#C[N-]C#N,163.184
Cn1cc[n+](C)c1.N#C[C-](C#N)C#N,IM-C1-C1,Cn1cc[n+](C)c1,TCM,[C-](C#N)(C#N)C#N,187.206
CC(=O)[O-].Cn1cc[n+](C)c1,IM-C1-C1,Cn1cc[n+](C)c1,OAc,CC([O-])=O,156.18499999999997
Cn1cc[n+](C)c1.N#C[S-],IM-C1-C1,Cn1cc[n+](C)c1,SCN,[S-]C#N,155.226
Cn1cc[n+](C)c1.O=[N+]([O-])[O-],IM-C1-C1,Cn1cc[n+](C)c1,NO3,[O-][N+]([O-])=O,159.14499999999998
Cn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,IM-C1-C1,Cn1cc[n+](C)c1,OTf,[O-]S(=O)(=O)C(F)(F)F,246.20999999999995
CCOS(=O)(=O)[O-].Cn1cc[n+](C)c1,IM-C1-C1,Cn1cc[n+](C)c1,EtSO4,CCOS([O-])(=O)=O,222.266
COS(=O)(=O)[O-].Cn1cc[n+](C)c1,IM-C1-C1,Cn1cc[n+](C)c1,MeSO4,COS([O-])(=O)=O,208.23899999999998
Cn1cc[n+](C)c1.O=S(=O)([O-])O,IM-C1-C1,Cn1cc[n+](C)c1,HSO4,[O-]S(O)(=O)=O,194.212
Cn1cc[n+](C)c1.NCC(=O)[O-],IM-C1-C1,Cn1cc[n+](C)c1,Gly,[NH2]CC([O-])=O,171.2
Cn1cc[n+](C)c1.O=C([O-])C1CCCN1,IM-C1-C1,Cn1cc[n+](C)c1,Pro,[O-]C(=O)C1CCCN1,211.26499999999996
CC(O)C(=O)[O-].Cn1cc[n+](C)c1,IM-C1-C1,Cn1cc[n+](C)c1,Lac,CC(O)C([O-])=O,186.21099999999998
Cn1cc[n+](C)c1.O=C([O-])C(F)(F)F,IM-C1-C1,Cn1cc[n+](C)c1,TFA,[O-]C(=O)C(F)(F)F,210.15499999999994
Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,IM-C1-C1,Cn1cc[n+](C)c1,BETI,[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,477.302
Cn1cc[n+](C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,IM-C1-C1,Cn1cc[n+](C)c1,FSI,[N-](S(=O)(=O)F)S(=O)(=O)F,277.274
Cn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,IM-C1-C1,Cn1cc[n+](C)c1,B(CN)4,[B-](C#N)(C#N)(C#N)C#N,212.02499999999998
CCOP(=O)([O-])OCC.Cn1cc[n+](C)c1,IM-C1-C1,Cn1cc[n+](C)c1,DEP,CCOP([O-])(=O)OCC,250.23499999999996
Cn1cc[n+](C)c1.O=C[O-],IM-C1-C1,Cn1cc[n+](C)c1,Formate,[O-]C=O,142.158
